time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.520000,0.2670,0.2582,0.0660,0.377
1.524000,0.2820,0.2007,0.2205,0.410
1.529000,0.2897,0.0691,0.3863,0.488
1.534000,0.2309,-0.0011,0.5785,0.623
1.539000,0.0972,0.0107,0.7666,0.773
1.544000,-0.1180,0.0442,0.8248,0.834
1.549000,-0.4159,-0.0012,0.7133,0.826
1.553000,-0.6824,-0.1304,0.5617,0.893
1.558000,-0.8050,-0.2132,0.3763,0.914
1.563000,-0.6364,-0.3460,0.0914,0.730
1.568000,-0.2132,-0.5724,0.2083,0.645
1.572000,0.0993,-0.6783,0.8698,1.107
1.577000,0.1641,-0.6491,1.5796,1.716
1.582000,0.0605,-0.5931,2.0381,2.123
1.587000,-0.0360,-0.5430,2.0828,2.153
1.592000,-0.0609,-0.4753,1.7840,1.847
1.596000,-0.1145,-0.3613,1.3480,1.400
1.603000,-0.2082,-0.1824,0.9637,1.003
1.606000,-0.2810,0.0296,0.7144,0.768
1.610000,-0.2743,0.2560,0.6066,0.713
1.615000,-0.1707,0.4661,0.6038,0.782
1.620000,-0.0034,0.6478,0.6412,0.911
1.625000,0.1800,0.7983,0.6445,1.042
1.629000,0.3179,0.9129,0.5993,1.137
1.634000,0.3605,0.9611,0.4865,1.136
1.639000,0.3252,0.9507,0.2821,1.044
1.644000,0.2672,0.8941,-0.0066,0.933
1.648000,0.2175,0.7915,-0.3171,0.880
1.653000,0.1843,0.6812,-0.6107,0.933
1.657000,0.1084,0.5910,-0.8583,1.048
1.662000,-0.0428,0.5032,-0.9734,1.097
1.668000,-0.1721,0.4259,-0.9511,1.056
1.672000,-0.1728,0.4106,-0.8870,0.993
1.677000,-0.0910,0.4780,-0.8457,0.976
1.681000,-0.0652,0.6085,-0.7650,0.980
1.686000,-0.0995,0.7303,-0.5615,0.927
1.691000,-0.1240,0.7500,-0.2619,0.804
1.696000,-0.1598,0.6917,0.0453,0.711
1.701000,-0.2401,0.5935,0.3409,0.725
1.706000,-0.3310,0.5057,0.6367,0.878
1.710000,-0.4082,0.4448,0.8970,1.081
1.715000,-0.4472,0.3964,1.1263,1.275
1.720000,-0.4063,0.3724,1.3558,1.463
1.724000,-0.2752,0.3345,1.5994,1.657
1.729000,-0.1176,0.2686,1.7806,1.805
1.734000,0.0046,0.1991,1.8086,1.819
1.739000,0.0352,0.1105,1.6857,1.690
1.745000,-0.0244,-0.0478,1.4406,1.442
1.749000,-0.1113,-0.2951,1.0611,1.107
1.753000,-0.1972,-0.6173,0.5235,0.833
1.757000,-0.2977,-0.9820,-0.0499,1.027
1.762000,-0.3829,-1.3123,-0.5131,1.460
1.767000,-0.4163,-1.5416,-0.8108,1.791
1.772000,-0.4280,-1.6970,-0.9431,1.988
1.776000,-0.4790,-1.8910,-0.9768,2.182
1.783000,-0.4569,-2.1411,-0.9570,2.389
1.786000,-0.3209,-2.3959,-0.8091,2.549
1.791000,-0.2295,-2.6516,-0.5068,2.709
1.796000,-0.1492,-2.8757,-0.1531,2.884
1.800000,0.0257,-3.0422,0.1944,3.048
1.805000,0.3000,-3.1300,0.5262,3.188
1.810000,0.6063,-3.1633,0.8088,3.321
1.819000,0.9090,-3.1252,1.0782,3.429
1.820000,1.1588,-3.0397,1.4607,3.566
1.825000,1.3122,-2.9641,1.9821,3.800
1.829000,1.4237,-2.9124,2.5557,4.128
1.834000,1.4906,-2.9316,3.0541,4.488
1.839000,1.4878,-3.0067,3.4699,4.826
1.844000,1.4834,-3.0894,3.8626,5.164
1.848000,1.4951,-3.1512,4.2489,5.497
1.853000,1.5218,-3.2189,4.5520,5.779
1.857000,1.5549,-3.3018,4.6906,5.943
1.862000,1.5397,-3.3806,4.6171,5.926
1.867000,1.4929,-3.4378,4.3101,5.712
1.872000,1.4494,-3.4517,3.8158,5.346
1.876000,1.4126,-3.4269,3.1847,4.887
1.881000,1.3718,-3.3514,2.4964,4.398
1.886000,1.3393,-3.2321,1.7559,3.915
1.891000,1.3278,-3.0908,0.9923,3.507
1.896000,1.3565,-2.9608,0.2873,3.269
1.900000,1.4186,-2.8473,-0.3038,3.196
1.905000,1.5296,-2.7126,-0.7092,3.194
1.910000,1.6883,-2.5125,-0.8931,3.156
1.915000,1.8807,-2.2671,-0.8460,3.065
1.919000,2.1216,-2.0200,-0.6281,2.996
1.924000,2.3685,-1.8120,-0.3833,3.007
1.929000,1.9116,-2.2403,-0.0423,2.945
1.934000,0.9318,-3.1453,0.3825,3.303
1.938000,0.9805,-3.4252,0.3597,3.581
1.944000,1.6797,-3.0379,0.3318,3.487
1.948000,1.6962,-2.5352,0.9491,3.195
1.953000,1.3293,-2.2216,1.6678,3.080
1.957000,1.1479,-2.2073,2.0980,3.254
1.962000,1.0694,-2.4151,2.3115,3.510
1.967000,0.9468,-2.6558,2.4687,3.748
1.972000,0.6898,-2.8581,2.6246,3.941
1.976000,0.3707,-3.0484,2.6740,4.072
1.982000,0.1335,-3.1982,2.5287,4.079
1.986000,-0.0582,-3.2642,2.1795,3.925
1.991000,-0.2416,-3.2271,1.6341,3.625
1.996000,-0.3042,-3.0607,0.9577,3.221
2.000000,-0.2220,-2.7992,0.2442,2.819
2.005000,-0.0615,-2.5292,-0.3984,2.561
2.009000,0.1113,-2.3207,-0.9268,2.501
2.019000,0.2925,-2.1527,-1.4006,2.585
2.020000,0.4452,-2.0158,-1.8389,2.765
